"옵션 관리코드","옵션별상품코드","모델명","주문상품명","상품옵션","주문품목 단가","주문품목 수량","주문품목 결제금액","부가세여부","주문번호","주문상태(품목별)"
"","M1244419-00000000002","UC07147","UC07147 모닝스타 쁘띠쁘랑 쉬폰 별 여자 골프 가운 헤어밴드 포함","사이즈 : FREE(55~66), 색상 : 핑크","7450","1","7450","부가세","20200605082434-34418368178","배송완료"
"","M1244443-00000000001","UD07146","UD07146 모닝스타 쁘띠쁘랑 쉬폰 잎 여자 골프 가운 헤어밴드 포함","사이즈 : FREE(55~66), 색상 : 블루","7450","1","7450","부가세","20200605082434-34418368178","배송완료"
"","M1244469-00000000001","MM07534-2","MM07534-2 모닝스타 쁘띠쁘랑 면 얌고양이 면혼방 여자 골프 가운 헤어밴드 포함","사이즈 : FREE(55~66)","7450","1","7450","부가세","20200605082434-34418368178","배송완료"
"","M1244941-00000000213","JBR8002S","JBR8002S 비너스 자스민 베이직 여자 노와이어 몰드 풀컵 브라 팬티 세트","색상 : 블랙(BK), 사이즈 : 75B_100, 팬티추가 : 선택안함","11520","1","11520","부가세","20200605082434-34418368178","배송완료"
"","M1245174-00000000022","JHMDVB11","JHMDVB11 제임스딘 스판 나염 남자 드로즈 사각 팬티","색상 : RD(적색), 사이즈 : 100","9180","1","9180","부가세","20200605082434-34418368178","배송완료"
"CBEABMAC04BU090","M1245269-00000000023","CBEABMAC03","첨이첨이 ESC 남아 텐셀 모달 런닝 02 편면 남아동 민소매 나시","모델명 : CBEABMAC03, 사이즈 : 90(+800)","4950","2","11500","부가세","20200605082434-34418368178","배송완료"
"","M1245279-00000000006","JHWPVC14","JHWPVC14 제임스딘 망사 스트레치 레이스 여자 미디 삼각 팬티 2매입 세트","구성 : 팬티2매, 사이즈 : 95","11780","1","11780","부가세","20200605082434-34418368178","배송완료"
"CBEABMAC02BU090","M1245407-00000000030","CBEABMAC01","첨이첨이 ESC 남아 텐셀 모달 런닝 01 40수 스판 남아동 민소매 나시","모델명 : CBEABMAC01, 사이즈 : 90(+800)","4950","2","11500","부가세","20200605082434-34418368178","배송완료"
"","M1245421-00000000002","JHMPWZ11","JHMPWZ11 제임스딘 데오드란트 스판 남자 삼각 브리프 팬티 3매입 세트","구성 : 팬티3매, 사이즈 : 100","13520","1","13520","부가세","20200605082434-34418368178","배송완료"
"","M1245464-00000000013","GB2219","GB2219 고아라 순면 여주니어 부직포 패드 A컵 1.5단계 스포츠브라","색상 : 아이보리(IV), 사이즈 : 80A","4080","3","12240","부가세","20200605082434-34418368178","배송완료"
"CBEABMAS02AS080","M1245478-00000000035","CBEABMAS01","첨이첨이 ESC 남 텐셀 모달 드로즈 01 스판 남아동 즈로즈 사각 팬티 2매입 세트","모델명 : CBEABMAS01, 사이즈 : 80(+800)","9950","1","10750","부가세","20200605082434-34418368178","배송완료"
"CBEABMAS02AS095","M1245478-00000000038","CBEABMAS01","첨이첨이 ESC 남 텐셀 모달 드로즈 01 스판 남아동 즈로즈 사각 팬티 2매입 세트","모델명 : CBEABMAS01, 사이즈 : 95(+800)","9950","1","10750","부가세","20200605082434-34418368178","배송완료"
"CBEABFAE04AS090","M1245488-00000000020","CBEABFAE03","첨이첨이 ESC 여아 팬티 02 밤부 여아동 삼각 브리프 3매입 세트","모델명 : CBEABFAE03, 사이즈 : 90(+500)","6950","1","7450","부가세","20200605082434-34418368178","배송완료"
"C4EABMAN01WH065","M1245567-00000000046","C4EABMAN01","첨이첨이 ESC 키남아 7부 세트 01 순면 편면 변화직 남아동 상하 실내복 내의 잠옷","모델명 : C4EABMAN01, 사이즈 : 65(7~8세)","6950","3","20850","부가세","20200605082434-34418368178","배송완료"
"","M1245579-00000000025","JBR1249","JBR1249 비너스 자스민 메쉬 스판 여자 노와이어 몰드 A~C컵 브라","색상 : 연브라운(LB), 사이즈 : 90C","7980","1","7980","부가세","20200605082434-34418368178","배송완료"
"CBEABMAF03AS070","M1245629-00000000046","CBEABMAF03","첨이첨이 ESC 남 트렁크 02 레이온 남주니어 사각 팬티 2매입 세트","모델명 : CBEABMAF03, 사이즈 : 70(9~10세)","9450","1","9450","부가세","20200605082434-34418368178","배송완료"
"CFEBBFAS01BK075","M1245642-00000000032","CFEBBFAS01","첨이첨이 블랙 쿨 메쉬 중 속바지 스판 여아동 하의","모델명 : CFEBBFAS01, 사이즈 : 75(11~12세)","4250","2","8500","부가세","20200605082434-34418368178","배송완료"
"","M1245687-00000000008","JHWPW211","JHWPW211 제임스딘 인견 쿨 여자 속바지 드로즈 사각 팬티 2매입 세트","구성 : 팬티2매, 사이즈 : 100","11930","1","11930","부가세","20200605082434-34418368178","배송완료"
"","M1245693-00000000002","BWT4606","BWT4606 BYC 쿨피아 인견 스판 즈로즈 3매입 #1 남자 쿨 냉감 사각 드로즈 팬티 세트","사이즈 : 100","21840","1","21840","부가세","20200605082434-34418368178","배송완료"
"","M1245724-00000000021","BWT4597","BWT4597 BYC 쿨피아 쿨비즈 런닝 #1 쿨 냉감 남자 민소매 나시","색상 : 백색(4597), 사이즈 : 95","6860","2","13720","부가세","20200605082434-34418368178","배송완료"
"","M1245729-00000000006","BWT0006","BWT0006 BYC 보디드라이 3부 하 #1 쿨 냉감 레이온 여자 속바지","색상 : 검정색, 사이즈 : 90","7870","2","15740","부가세","20200605082434-34418368178","배송완료"
"","M1245729-00000000010","BWT0006","BWT0006 BYC 보디드라이 3부 하 #1 쿨 냉감 레이온 여자 속바지","색상 : 연스킨, 사이즈 : 90","7870","1","7870","부가세","20200605082434-34418368178","배송완료"
"CDEABMAR09GY075","M1245775-00000000049","CDEABMAR09","첨이첨이 ESC 남아 텐셀 모달 3부 세트 01 30수 남아동 상하 실내복 내의 잠옷","모델명 : CDEABMAR09, 사이즈 : 75(11~12세)","10750","1","10750","부가세","20200605082434-34418368178","배송완료"
"","M1245789-00000000027","CDEABMCI01","첨이첨이 ESC 남아 5부 파자마 01 메쉬 스판 남아동 실내복 잠옷 바지 하의","모델명 : CDEABMCI01, 사이즈 : 90(+800)","6950","1","7750","부가세","20200605082434-34418368178","배송완료"
"","M1245800-00000000023","CFEBBFAS03","첨이첨이 스킨 쿨 메쉬 즈로즈 스판 여아동 드로즈 사각 팬티","모델명 : CFEBBFAS03, 사이즈 : 75(11~12세)","4250","3","12750","부가세","20200605082434-34418368178","배송완료"
"","M1245842-00000000039","BTR7307","BTR7307 BYC 모달 반팔 남 소아 잠옷 7호 남아동 여름 상하 세트","색상 : 곤색, 사이즈 : 85","21330","1","21330","부가세","20200605082434-34418368178","배송완료"
"","M1245868-00000000028","BWT0010","BWT0010 BYC 보디드라이 브라 케미솔 #1 쿨 냉감 여자 민소매 끈 런닝 나시","색상 : 연스킨, 사이즈 : 95","20060","1","20060","부가세","20200605082434-34418368178","배송완료"
"","M1245891-00000000008","BTR6313","BTR6313 BYC 쿨피아 3매입 아웃밴드 인견 즈로즈 7호 남주니어 쿨 냉감 드로즈 사각 팬티 세트","구성 : 팬티3매, 사이즈 : 100","19300","1","19300","부가세","20200605082434-34418368178","배송완료"
"","M1245895-00000000006","BWT4602","BWT4602 BYC 쿨피아 인견 나염 박서 3매입 #1 남자 쿨 냉감 트렁크 사각 팬티 세트","구성 : 팬티3매, 사이즈 : 105","29960","1","29960","부가세","20200605082434-34418368178","배송완료"
"","M1245900-00000000013","BYM7144","BYM7144 BYC 메가스타 부인용 3매입 45호 순면 여자 맥시 삼각 팬티 세트","색상 : 유색, 사이즈 : 95","7270","1","7270","부가세","20200605082434-34418368178","배송완료"
"","M1245900-00000000017","BYM7144","BYM7144 BYC 메가스타 부인용 3매입 45호 순면 여자 맥시 삼각 팬티 세트","색상 : 백색나염, 사이즈 : 95","7270","1","7270","부가세","20200605082434-34418368178","배송완료"
